surveyid,variable,varname,description,classification,question,responses,values
cqwels_long_jun_2020,d1a,primjob,gig as primary job status,gig economy,Do you consider this paid activity to be your primary job?,"Yes, No","0, 1"
cqwels_long_oct_2020,d1ahidden,primjob_hidden,primary job hidden indicator,gig economy,"Do you consider this paid activity to be your primary job? [IF RESPONDENT REPORTS ""YES"" TO MORE THAN ONE OF THE FOUR ITEMS ABOVE, ASK THE FOLLOWING...] Do you consider any of these paid activities to be your primary job?","Do you consider this paid activity to be your primary job?, Do you consider any of these paid activities to be your primary job?","0, 1"
cqwels_tlc_sep_2024,respectopen,respect_open,respect finding open explanation,job quality,"You said you were ""[PIPE RESPONSE FROM respect_surprise]"" to hear that 85 percent of all Canadian workers say they are treated with respect at work. Please briefly tell us why you answered that way.",Prefer not to say,0
cqwels_tlc_sep_2024,meaningfulopen,meaning_open,meaningfulness finding open explanation,work attitudes,"You said you were ""[PIPE RESPONSE FROM meaningful_surprise]"" to hear that 75 percent of all Canadian workers find their work to be very meaningful. Please briefly tell us why you answered that way.","Prefer not to say, THE STRESS SERIES","0, 1"
cqwels_trends_sep_2025,aieffects,aieffects,ai job displacement likelihood,job quality,"A CEO of a major AI company recently made this statement... ""AI could wipe out half of all entry-level white-collar jobs and spike unemployment to 10-20% in the next one to five years."" How likely do you think this is? (Even if you're unsure, we're interested in your best guess).","Not at all likely, Not too likely, Somewhat likely, Very likely","0, 1, 2, 3"
messi_can_may_2024,orgsize,orgsize,organization employee count,job structure,About how many people are employed in the entire business corporation or organization for which you work? (Count part-time as well as full-time employees.),"1-9, 10-49,  50-99, 100-499, 500-999, 1,000-9,999, 10,000 OR MORE, Can’t choose, Prefer not to say, I work alone/not applicable","1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
messi_us_nov_2023,q14,orgsize,organization employee count,job structure,About how many people are employed in the entire business corporation or organization for which you work? (Count part-time as well as full-time employees.),"1-9, 10-49, 50-99, 100-499, 500-999, 1,000-9,999, 10,000 OR MORE, Can't choose, Prefer not to say, I work alone/not applicable","1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
messi_can_apr_2025,jobsat,jobsat,overall job satisfaction,job quality,"All in all, how satisfied would you say you are with your job?","not at all satisfied, not too satisfied, somewhat satisfied, very satisfied","0, 1, 2, 3"
messi_us_apr_2025,jobsat,jobsat,overall job satisfaction,job quality,"All in all, how satisfied would you say you are with your job?","Very satisfied, Somewhat satisfied, Not too satisfied, Not at all satisfied, Can’t choose, Prefer not to say","0, 1, 2, 3"
messi_can_may_2024,jobsat,jobsat,overall job satisfaction,job quality,"All in all, how satisfied would you say you are with your job?","Very satisfied, Somewhat satisfied, Not too satisfied, Not at all satisfied, Can’t choose, Prefer not to say","0, 1, 2, 3"
messi_us_jun_2024,q60,jobsat,overall job satisfaction,job quality,"All in all, how satisfied would you say you are with your job?","Very satisfied, Somewhat satisfied, Not too satisfied, Not at all satisfied, Can't choose, Prefer not to say","0, 1, 2, 3"
messi_us_nov_2023,q70,jobsat,overall job satisfaction,job quality,"All in all, how satisfied would you say you are with your job?","Very satisfied, Somewhat satisfied, Not too satisfied, Not at all satisfied, Can't choose, Prefer not to say","0, 1, 2, 3"
qes_can_mar_2023,satjob1,jobsat,overall job satisfaction,job quality,"All in all, how satisfied would you say you are with your job?","Very satisfied, Somewhat satisfied , Not too satisfied , Not at all satisfied , Can’t choose, Prefer not to say","0, 1, 2, 3"
qes_us_feb_2023,satjob1,jobsat,overall job satisfaction,job quality,"All in all, how satisfied would you say you are with your job?","Very satisfied, Somewhat satisfied, Not too satisfied, Not at all satisfied, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
qes_us_jan_2022,satjob1,jobsat,overall job satisfaction,job quality,"All in all, how satisfied would you say you are with your job?","Very satisfied, Somewhat satisfied, Not too satisfied, Not at all satisfied, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6"
messi_can_may_2024,bestfriends,bestfriends,best friends from work count,"job quality, social well-being","Among the people you feel are your best friends, about how many did you first meet at places where you've ever worked?","All of them, A lot of them, Some of them, A few of them, None of them, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6, 7"
messi_us_jun_2024,q56,bestfriends,best friends from work count,"job quality, social well-being","Among the people you feel are your best friends, about how many did you first meet at places where you've ever worked?","All of them, A lot of them, Some of them, A few of them, None of them, Can't choose, Prefer not to say","1, 2, 3, 4, 5, 6, 7"
messi_us_nov_2023,q59,bestfriends,best friends from work count,"job quality, social well-being","Among the people you feel are your best friends, about how many did you first meet at places where you've ever worked?","All of them, A lot of them, Some of them, A few of them, None of them, Can't choose, Prefer not to say","1, 2, 3, 4, 5, 6, 7"
qes_can_mar_2023,bestfriends,bestfriends,best friends from work count,"job quality, social well-being","Among the people you feel are your best friends, about how many did you first meet at places where you've ever worked?","All of them, A lot of them, Some of them, A few of them, None of them, Can’t choose, Prefer not to say","0, 1, 2, 3, 4"
qes_us_feb_2023,bestfriends,bestfriends,best friends from work count,"job quality, social well-being","Among the people you feel are your best friends, about how many did you first meet at places where you've ever worked?","All of them, A lot of them, Some of them, A few of them, None of them, Can’t choose, Prefer not to say","1, 2, 3, 4, 5, 6, 7"
cqwels_trends_sep_2021,b7_c21,gendercomp,workplace gender composition percentage,job quality,Approximately what percentage of employees at your workplace are women?,"0 – 25 percent, 26 – 50 percent, 51 – 75 percent, 76 – 100 percent, Not applicable","0, 1, 2, 3"
aqwels_trends_nov_2020,b7,gendercomp,workplace gender composition percentage,job quality,Approximately what percentage of employees at your workplace are women?,"0 – 25 percent, 26 – 50 percent, 51 – 75 percent, 76 – 100 percent, Not applicable","0, 1, 2, 3"
cqwels_trends_mar_2020,b7,gendercomp,workplace gender composition percentage,job quality,Approximately what percentage of employees at your workplace are women?,"0 – 25 percent, 26 – 50 percent, 51 – 75 percent, 76 – 100 percent, Not applicable","0, 1, 2, 3"
cqwels_trends_sep_2020,b7_c20,gendercomp,workplace gender composition percentage,job quality,Approximately what percentage of employees at your workplace are women?,"0 – 25 percent, 26 – 50 percent, 51 – 75 percent, 76 – 100 percent, Not applicable","0, 1, 2, 3"
cqwels_trends_sep_2019,b7,gendercomp,workplace gender composition percentage,job quality,Approximately what percentage of employees at your workplace are women?,"0  25 percent, 26  50 percent, 51  75 percent, 76  100 percent, not applicable","1, 2, 3, 4, 5"
cqwels_tlc_oct_2025,b5,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"Yes, No","0, 1"
cqwels_trends_sep_2025,b5,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"Yes, No","0, 1"
cqwels_tlc_sep_2024,b5,union,union membership status,job structure,Are you a member of a union OR collective bargaining unit?,"Yes, No","0, 1"
